Hi.	嗨。
The act or process of identifying or determining the nature and cause of a disease or injury through evaluation of patient history, examination, and review of laboratory data.	诊断通过评价病人的病史、体检情况和阅读试验数据的方式对人体机能进行检验或对人体引起病痛的原因进行鉴别的行为或过程
The pilot in an airplane equipped with radar, flying at night, can see on the radar viewing screen distant buildings, or perhaps a dangerous mountain peak that is miles ahead.	装备有雷达的飞机，在夜间飞行时飞行员能够在雷达屏幕上看见远处的建筑物、或许还能看见前面几英里远的险峻山峰。
A province of southeast China on the East China Sea and the Formosa Strait. Agriculture and fishing are important to its economy. Fuzhou is the capital. Population, 27,130,000.	福建中国东南部的一个省份，濒临东海和台湾海峡。经济以农业和渔业为主，省会为福州。人口27，130，000
In optical recording, refers to the areas of the data tracks which are between the pits. These are typically the areas not touched by the recording laser beam during mastering.	在光记录技术中，指光道上两个凹槽之间的区域。在制作母盘时记录激光束不照射这些区域。参阅pit。
The scientific study of matter in outer space, especially the positions, dimensions, distribution, motion, composition, energy, and evolution of celestial bodies and phenomena.	天文学外层空间事物的科学研究，尤指天体及天文现象的位置、大小、分布、运动、构成、能量及演化的科学
A glass bulb filled with finely shredded aluminum or magnesium foil that is ignited by electricity to produce a short-duration high-intensity light flash for taking photographs.	闪光泡一种内部装有铝箔或镁箔的精细碎片的玻璃灯泡，用电点燃以发出短暂的高强度闪光，从而拍摄照片
A program for protocol verification which mechanically generates all states reachable from a given initial state and checks the validity of user defined conditions in each state.	验证协议的程序，它从一个给定的初始状态机械地产生出一切可以到达的状态，并且审查每一状态下用户定义的条件的有效性。
A string of one or more characters used to separate or organize elements of computer programs or data; for example, parentheses, blank character, arithmetic operator, if,"BEGIN".	用来分隔或组织计算机程序元素或数据元素的字符或字符串。例如括号、空格符、算术运算符、if（如果）、“BEGIN＂等。
Relating to the rights of private individuals and legal proceedings concerning these rights as distinguished from criminal, military, or international regulations or proceedings.	民事的，民法的关于个人隐私权及相关于这些权利的法律诉讼程序的，区别于刑事的、军事的或国际的条例或诉讼程序
He told the man, "you may eat from every tree in the garden, but not from the tree of the knowledge of good and evil; For on the day that you eat from it, you will certainly die."	他嘱咐这人说：“你可以随意采食园中任何树上之果实，惟独那能辨善恶之知识树果子你不能吃。你吃它之时，你就会死去！”
Any of numerous natural and synthetic compounds of usually high molecular weight consisting of up to millions of repeated linked units, each a relatively light and simple molecule.	聚合物许多天然和人工合成的化合物中的任一种，通常具高分子的重量，包含最多可达上百万个的彼此重复且相连的单位，每一个单位都是一个相对较轻和较简单的分子
The natural or surgical union of anatomical parts of two organisms, usually involving exchange of blood, as in the development of Siamese twins or in certain transplant operations.	联体，并体天生的或手术施行的通常进行血液交换的两器官的联合，比如在连体婴的发育或某种嫁接手术中
For analog inputs, any absolute voltage value above which the analog-to- digital converter cannot distinguish a change. The overload value can be different for plus and minus inputs.	就模拟输入而言，使模数转换器不能区别其变化的超范围的绝对电压值。超载值对于正输入和负输入可能不同。
A device that converts a property of an input signal, such as frequency or phase, into an amplitude variation, depending on how the signal differs from a standard or reference signal.	鉴别器，鉴频器一种将输入信号的某一特征，如频率或相位转变为幅度变化装置，其变化大小因信号与标准或参考信号的不同程度而异
A liquid mixture of two or more substances that retains the same composition in the vapor state as in the liquid state when distilled or partially evaporated under a certain pressure.	共沸混合物两种或多种物质组成的液体混合物，当在某种压力下被蒸馏或局部汽化时，在气体状态下和在液体状态下保留相同的物质的成分
For several months Tyne has had a run of disappointing catches, and his boss was quite dissatisfied with him. So he decides to make one more trip before the end of the fishing season.	最近几个月，泰恩经历了一系列失败的捕捞，老板对他非常不满，于是他决定在捕鱼季节结束前再一次出海。
That which is past is gone, and irrevocable; and wise men have enough to do, with things present and to come; therefore they do but trifle with themselves, that labor in past matters.	过去的已经过去，且一去不返，而聪明人总是努力着眼于现在和将来的事情，所以对过去耿耿于怀着无非是在捉弄自己罢了。
German writer who lived in Paris after1831. His romantic poems and social essays are marked by his love for the German land and people and derision for many modern German institutions.	海涅，亨利希1797－1856德国作家，自1831年之后生活在巴黎。他的浪漫主义诗歌及社会论文充满了他对自己祖国土地和人民的热爱，对众多德国现代研究机构的嘲笑
Performing background processing which is not on-line or directly connected to the computer for on-line operation. High priority programs take precedence over specific background jobs.	指实现后台处理。所谓后台处理是指非联机处理，或者说不是直接和计算机连接起来而进行联机操作。优先级高的程序先于特定的后台作业执行。
Any solution [to Soviet economic malaise], however, is hostage to the crisis of authority, creating a catch-22 stalemate between perestroika and glasnost, between economics and politics	不过，任何解决[苏联经济失调]办的法都受到权力危机的影响，在改革与开放，经济与政治之间产生一种自相矛盾僵持不下的情况：任何振兴经济的办法不过煽起民众的忿怒并损及政府威信而已。
The dilemma that Bush foresaw in1986 has come to pass. His political career is indeed at stake, and his paralyzing loyalty is becoming a political handicap as well as a personal virtue.	1986年布什所预料到的尴尬情形果然发生了。他的政治生涯的确受到威胁。他[对里根]的效忠到了瘫痪自己的程度。这固然是个人美德，但在政治上却是障碍。
The pathological formation of patches of gum on certain plants, such as sugar cane and some fruit trees, resulting from attack by insects, microorganisms, or adverse weather conditions.	流胶现象，流胶病某些植物上，如甘蔗及一些果树，形成胶质斑块的病理现象，由病虫害、微生物或恶劣的气候条件侵袭而引起
The science of life and of living organisms, including their structure, function, growth, origin, evolution, and distribution. It includes botany and zoology and all their subdivisions.	生物学生命或生物的科学，包括其结构、机能、生长、起源、进化及分布。包含植物学和动物学及所有的分支
A separation in the boundary layer of fluid about a moving streamlined body, such as the wing of an airplane, causing a breakdown in the smooth flow of fluid and resulting in turbulence.	气流分离移动的流线型的躯体上流体边界层上的分隔物，如飞机的机翼，在平滑的流体流动中会引起故障和湍流
An official document issued by an allied foreign government to a ship, especially a neutral merchant ship in time of war, authorizing it to enter and travel through certain waters freely.	中立船证由联盟的外国政府颁发给船只的一种官方文件，尤指战时授权中立商船在特定水城内自由进出和航行的文件
Some engineers take the view that since so much effort has been put into making this system work it would be sensible in the short term to continue the same line rather than start afresh.	有些工程师认为，既然为这一系统起作用已付出如此巨大的努力，明智的做法是短期内将这项工作继续下去，而不是从头再来。
A neurotic disorder characterized by chronic fatigue and weakness, loss of memory, and generalized aches and pains. It was formerly thought to result from exhaustion of the nervous system.	神经衰弱一种神经系统紊乱，表现为长期疲劳乏力、失去记忆，带中度疼痛。以前被认为是由于神经系统衰竭引起的
A severe, often gangrenous inflammation of the mouth or genitals, occurring usually after an infectious disease and found most often in children in poor hygienic or malnourished condition.	走马疳，坏疽性口炎嘴或生殖器部分严重的经常为生疽性的发炎，通常在感染了传染病后发生，最常发病于卫生条件极差或营养状况不良的孩子
Physicists are studying new ways of generating electricity with less damage to the environment. In the meantime, many power plants are being modernized to give off less polluting material.	物理学家们正在研究对环境危害少的发电新方法，与此同时，许多发电厂也在实现现代化以减少污染物质的释放量。
A queue of new messages(or a group) within a system that are awaiting processing. The main scheduling routine will scan them along with other queues and order them into processing in order.	在系统中等待处理的一组或一队列新信息，主调度程序对该队列及其它队列进行扫描，使之顺序进入处理状态。
Any of several highly volatile, flammable liquid mixtures of hydrocarbons distilled from petroleum, coal tar, and natural gas and used as fuel, as solvents, and in making various chemicals.	石脑油一种高度挥发性的易燃液态碳氢化合物混合物，从石油、煤焦油和天然气中提炼出来，并用作石油、溶剂和制造各种化合物中
The participants said they valued this special opportunity very much and would teach what they had learned to their colleagues and students to help more people master basic computer skills.	老师们纷纷表示，非常珍惜这次宝贵的学习机会，将会把学到的知识教给自己的同事和学生，使更多的人掌握电脑的基本知识。
The process especially associated with Hegel of arriving at the truth by stating a thesis, developing a contradictory antithesis, and combining and resolving them into a coherent synthesis.	黑格尔辩证法特别指与黑格尔通过陈述正题、展开矛盾的反题，并综合和解决它使之成为有条理的综合体而求得真理有关联的过程
He said his union, Local504 of the Transport Workers Union, made"massive contract givebacks" over the years to help Pan Am with its financial troubles."It was all to no avail, " he lamented.	他说他的工会——运输工会504分会——历年来在合约上做了“极大的让步”以协助泛美［航空公司］纾解财务困难。“结果全然没用，”他哀伤地说。
Any instruction in a computer program, in a routine, or in a subroutine after the execution of which control is no longer exercised by that computer program, that routine, or that subroutine.	计算机程序、例程、或子例程内的具有如下功能的任何指令，执行这条指令后控制权将不再由该计算机程序、例程、或子例程行使了。
A farm implement consisting of a heavy blade at the end of a beam, usually hitched to a draft team or motor vehicle and used for breaking up soil and cutting furrows in preparation for sowing.	犁一种农具，由在一根横梁端部的厚重的刃构成，通常系在一组牵引它的牲畜或机动车上，用来破碎土块并耕出槽沟从而为播种做好准备
A unit of retinal illumination, equal to the amount of light that reaches the retina through 1 square millimeter of pupil area from a surface having a brightness of 1 candela per square meter.	光度视网膜亮度单位，相当于每平方米有一烛光亮度的表面，通过一平方毫米的瞳孔区域，到达视网膜的光线数量
The expansion of Marxism to include both Lenin's concept of imperialism as the final form of capitalism and a shift in the focus of struggle from the developed to the underdeveloped countries.	马克思列宁主义马克思主义的延伸，包含了列宁的帝国主义是资本主义的最终表现形式的理论，并指出了斗争中心从发达国家到不发达国家的转移
The passengers became alarmed when the lights went out on the plane, but the captain put their minds at rest when he told them it was only a minor electrical fault and it would soon be repaired.	当飞机上的灯一下子熄灭时，旅客显得很紧张，但当机长告诉他们这只不过是一次电气故障，很快就会修好时，他们才放下心来。
A metallurgical coating process in which iron or steel is immersed in a powder of another metal, such as zinc, chromium, or aluminum, and heated to a temperature below the melting point of either.	渗碳处理一种冶金镀膜工序，在此工序中把钢或铁浸入另一种金属如锌、铬或铝的粉剂里，并加热至这一金属的熔点温度以下
But the areas of our mutual cooperation continue to expand. We have already agreed to cooperate more closely in trade, technology, investment, and exchanges of scientific and managerial expertise.	但是我们彼此合作的领域还在不断增加。我们已经商定在贸易、技术、投资以及科学与管理专门知识的交流等方面更密切地合作。
Happy birthday to my dear husband. You add a special happiness to days that come and go. You give an extra sparkle to the ordinary things. It's so nice to have you being a special part of my life.	祝福夫君生日快乐，你给流逝的岁月增添了醉人的情意，你让平凡的事情发出耀眼的光芒，感谢你已成为我生命中特别重要的一部分。
In data security, the transmission of data to unauthorized users by processes with legitimate access to data. A compiler, for example, could leak a proprietary program whilst it is being compiled.	在数据保密学中，通过合法访问数据的进程将数据传输给未授权的用户的过程。例如，编译程序在编译期间便可能泄漏专用程序。
The application of scientific and mathematical principles to practical ends such as the design, manufacture, and operation of efficient and economical structures, machines, processes, and systems.	工程学将科学及数学原理运用于实际用途的应用手段，如设计、制造及对高效经济构造、机器、进程及系统进行操纵管理
The largest city of South Africa, in the northeast part of the country northwest of Durban. Founded in1886 after the discovery of gold nearby, it is a major industrial center. Population, 703,980.	约翰内斯堡南非最大的城市，位于该国的东北部，在德班西北。在其附近发现金矿后于1886年建立，为主要的工业中心。人口703，980
An explosive device used to destroy enemy personnel, shipping, fortifications, or equipment, often placed in a concealed position and designed to be detonated by contact, proximity, or a time fuse.	地雷，水雷一种用来摧毁敌军部队、船舰、碉堡或装备的爆破装置，通常安放在隐蔽处，由于接触、靠近或定时而引爆
So it looks as it the politicians have won. My only point is that it has been a Pyrrhic victory. In no country in the world are politicians held in greater or more open division than they are here.	因此，看起来政治家们取得了胜利。我惟一的想法是，他们为此付出了惨重的代价，未免得不偿失。世界上其他任何一个国家的政治家之间的分歧都没有这里的政治家之间的分歧那么大，那么公开。
That mortal was Arachne, a maiden who had attained such skill in the arts of weaving and embroidery that the nymphs themselves would leave their groves and fountains to come and gaze upon her work.	这个凡人叫阿拉喀涅，她有一手非凡的纺织和刺绣本领，每当这位少女干活儿时就连林中和喷泉中的神女们也都拥来观看。
The SI unit of magnetic flux equal to the magnetic flux that in linking a circuit of one turn produces in it an electromotive force of one volt as it is uniformly reduced to zero within one second.	韦伯磁通量的国际单位，等于当磁通量在一秒钟内被统一地减弱为零时在它联接的一圈电路内产生一伏特电动势时的磁通量
The two teams were drawing with only three minutes of play left in the Cup Final when Chelsea's centre forward pulled a master stroke and headed the ball into the net from outside the penalty area.	在足球锦标赛的最后３分钟时，两队还是不分胜负，突然切尔斯队的中锋非常出色地在罚球区之外将功赎罪球顶入了网内。
A Scottish dish consisting of a mixture of the minced heart, lungs, and liver of a sheep or calf mixed with suet, onions, oatmeal, and seasonings and boiled in the stomach of the slaughtered animal.	哈吉司羊肉一种苏格兰菜，由绵羊或牛切碎的心，肺，肝与板油，洋葱，燕麦片和调味料混合在被屠宰动物的腹中煮熟而成
A literary, dramatic, or pictorial device in which characters and events stand for abstract ideas, principles, or forces, so that the literal sense has or suggests a parallel, deeper symbolic sense.	寓言，讽喻一种文学、戏剧或绘画的艺术手法，其中人物和事件代表抽象的观点、原则或支配力，从而使表面含义含有或表达一种对等的，但更深刻的象征意义
A microwave tube in which electrons generated from a heated cathode are affected by magnetic and electric fields in such a way as to produce microwave radiation used in radar and in microwave ovens.	磁控管一种微波管，它里面的发热阴极发出的电子受到磁场和电场的影响，从而产生能用于雷达和微波炉微波辐射
A structure or substance not normally present but produced by an external agent or action, such as a structure seen in a microscopic specimen after fixation that is not present in the living tissue.	矫作物非正常出现而是由外界因素或作用所产生的一种结构或物质，如经固定后，在显微镜下才能看到的标本中的一种活生命组织中不会出现的结构
A device used to determine geographic direction, usually consisting of a magnetic needle or needles horizontally mounted or suspended and free to pivot until aligned with the magnetic field of Earth.	指南针用于确定地理方向的设备，通常包括一个或多个水平安装或悬挂的磁针，可在枢轴上自由活动直到与地球磁场在一条线上
Some will say Mr. Bush was done in by a bad convention and a bad campaign. But if both had gone better the outcome would have been the same. And I don't think it all came down to the economy, either.	有人说布什因选举大会开得不好以及竞选方法不佳而受害。可是即使两者都做得较好，结果也将是一样。我想根本问题也不在于经济。
A group of organisms having common ancestors and certain distinguishable characteristics, especially a group within a species developed by artificial selection and maintained by controlled propagation.	属一群拥有共同祖先和明显特征的有机体，尤指属于同一物种的一群，通过人工选择来发展，通过有控制的繁殖来维持
A body of persons making up such a department, trained in methods of law enforcement and crime prevention and detection and given the authority to maintain the peace, safety, and order of the community.	警察组成这样一个部门的一群人，他们被专门训练来掌握执行法律和防止并侦破犯罪行为的方法，被授予维护一个社区的和平、安全和秩序的职权
A process by which the hydrocarbon molecules of petroleum are broken into simpler molecules, as of gasoline or kerosene, by the addition of hydrogen under high pressure and in the presence of a catalyst.	氢化裂解将石油的含氢分子分裂成更简单的分子（象汽油和煤油的分子）的过程，此分裂过程是在加催化剂及高压氢气的条件上进行的
At most of the important crossings there is a plan of the streets(Lombard Street; Ohio Street; Market Street; and so on)cut into the stone of the sidewalk so that you can look down and see where you are.	在大多数的主要交叉路口，都有一幅街道（朗巴德街、俄亥俄街、市场街等等）的详图刻在人行道的石头上。只要你低头看一下，就知道自己所在的位置了。
Nearly10, 000 Western civilians, mostly British and American, are holed up in captured Kuwait City. If Saddam gets his hands on them, as he intends to, they are to be designated human targets and doomed.	将近一万名西方平民（多半是英国人和美国人）躲藏在被占领的科威特城。如果萨达姆能如愿，使他们落在他手里，他们将被指定为活靶，难逃浩劫。
The capital and largest city of Malaysia, on the southwest Malay Peninsula northwest of Singapore. Founded by tin miners in1857, it is the commercial and industrial hub of the country. Population, 937,817.	吉隆坡马来西亚的首都和最大城市，位于马来半岛的西南部、新加坡西北。于1857年由锡矿工人建立，现为该国的商业和工业中心。人口937，817
In many places a computer does the work of a million persons, and so it is widely used in any branch of science and technology- nuclear physics, electrical engineering, mechanical engineering, and the like.	在很多地方，计算机能做数百万人的工作，因此它被广泛地应用在各个科技领域——核物理、电气工程、机械工程等等。
Many doctors prefer a natural food, rich in dietary fibre, which will help you to avoid constipation, rather than having to resort to purgatives. The reason is obvious-prevention is always better than cure.	许多医生推荐含有丰富食物纤维的天然食物，因为它有助于防止便秘，以取代万不得已而使用的泻药。原因显而易见－治病总是不如防病。
As soon as the sediment starts creeping up the shoulder of the bottle, stop pouring. You should now have a glass of star-bright beer with a head(of foam) that stands proud of the glass but does not overflow.	啤酒瓶底的沉淀物一到瓶颈部位，就不要往外倒啤酒了。此时你的一杯啤酒会金灿灿地发亮，酒泡鼓出酒杯口，而又不会溢出杯外。
The gap between school training and work training is, indeed, one of the greatest failures of the British system."In general schools don't want to know anything to do with the world at work, " says Mr Hayes.	学校训练和工作训练之间的差距确实是英国制度方面的一个最大失败。“一般地说，学校不想了解任何与工作中的人们有关的情况，”海斯先生说。
Europe's plans for further unification may be up in the air, but people from Helsinki to Rome have been learning an often painful lesson in recent weeks about how entwined their economies have already become.	欧洲进一步统一的计划可以尚未定案，可是从赫尔辛基到罗马的人在最近几星期得到一个时常令人痛苦的教训：他们各国的经济已经如何地牵扯在一起了。
But above all, if he has St. Paul's perfection, that he would wish to be anathema from Christ, for the salvation of his brethren, it shows much of a divine nature, and a kind of conformity with Christ himself.	最后，如果一个人竟能像《圣经》中的圣保罗那样，肯为了兄弟们的得救甚至甘于忍受神的诅咒；那么他就必定超越了凡人，而且有真正基督徒的品格了。
The son of Daedalus who, in escaping from Crete on artificial wings made for him by his father, flew so close to the sun that the wax with which his wings were fastened melted, and he fell into the Aegean Sea.	伊卡罗斯代达罗斯的儿子，他乘着他父亲做的人工翅膀逃离克里特时，由于离太阳太近以致粘翅膀用的蜡溶化了，而掉进了爱琴海
A legal contract entered into by two or more persons in which each agrees to furnish a part of the capital and labor for a business enterprise, and by which each shares a fixed proportion of profits and losses.	合伙契约两个人或多个人签订的法律契约，每个人都同意为一个商业实体出一部分资金和劳力，从而每个人都可分享固定比例的一部分利润和承担固定比例的一部分损失
The second of the four Hindu classes, responsible for upholding justice and social harmony. In ancient India this was the royal or warrior class; in modern India, the professional, governing, or military class.	刹帝利四个印度种姓中的第二级，负责执法和维护社会安定。在古代印度，它由皇族和武士阶层构成；在现代印度，它表示职业、统治和军事阶层
A peninsula of southeast Asia comprising Vietnam, Laos, Cambodia, Thailand, Burma, and the mainland territory of Malaysia. The area was influenced in early times by India(particularly the Hindu culture) and China.	印度支那半岛东南亚的一个半岛，包括越南、老挝、柬埔寨、泰国、缅甸和马来西亚的大陆部分。历史上这一片地区曾受印度（尤其是印度教文化）和中国的影响
An important processing procedure in which top-priority processing most often results from real-time entries which usually have precedence, through the use of interrupts into lower-priority or background processing.	一种重要的处理过程，其中最高优先权处理任务常常由具有优先度的实时任务形成，经过使用中断而进入较低优先权任务或后台处理任务。
And in the European press, Mr. Reagan was frequently portrayed as fixated on Colonel Qaddafi, turning a blind eye, for example, to Syria, which is also said to have chemical weapons and has also been tied to terrorism.	欧洲新闻界常把里根先生描绘成钉住卡扎菲上校不放，譬如说对叙利亚则睁一眼闭一眼。据说叙国也有化学武器，并与恐怖活动有关。
I don't think this Administration has shown the foresight, has shown the knowledge, has been identified with the great fight which these people are waging to be free, to get a better standard of living, to live better.	本届政府并没有显示出应有的远见，应有的常识，不能看出这些人民正以伟大的战争来换取自由。换取更好的生活水平，过上好日子。
In systems with time sharing, an exchange between a terminal and another device that accomplishes a particular action or result; for example, the entry of a customer's deposit and the updating of the customer's balance.	在分时系统中，终端和其它设备进行一次数据交换，从而完成一个特定的动作或产生一个特定的结果。例如，输入客户的存款金额并修改客户的余额。
An eating disorder in which one alternates between abnormal craving for and aversion to food. It is characterized by episodes of excessive food intake followed by periods of fasting and self-induced vomiting or diarrhea.	饮食失常一种饮食无序，在这种情况下，一个人常常处于不正常的贪食和厌食的交替状态，特点是偶尔的暴饮暴食继而又很快的引起呕吐或腹泻
The attachment process occurring between a parent and offspring that usually begins at the time of birth, is the basis for further emotional affiliation, and influences the child's physical and psychological development.	代际联系父母与后代之间亲密关系的形成过程，常常在孩子出生时就开始，是更深的感情联系的基础，影响着孩子的生理和心理发育
An operation performed in Boolean algebra on two binary digits simultaneously in a way that the result is one if either one or both digits are a one, or zero if both digits are zero. The logic operator is the OR operator.	布尔代数中的一种运算，它同时对两个二进制数字进行如下操作：如果一个数或二个数为1，则结果为1；如果二个数均为零，则结果为零。它的逻辑算符是OR运算符。
Soviet foreign minister Eduard Shevardnadze is coming to Washington on Friday. He'll be bringing Ronald Reagan a letter from Mikhail Gorbachev himself…But you can bet the rent it'll be about the summit that almost wasn't.	苏联外长谢瓦尔德纳泽星期五来华盛顿。他将带给里根一封戈尔巴乔夫的亲笔信……。你尽可以打赌一定是有关几乎吹的高峰会。
An allowance for support made under court order to a divorced person by the former spouse, usually the chief provider during the marriage. Alimony may also be granted without a divorce, as between legally separated persons.	赡养费按照法庭判决离婚后的原配偶－－通常为夫妻中收入较多的一方给另一方的供养补助。赡养费亦可付给并未离婚的双方中的一方，如在合法分居时
Glasser, who rode roughshod over the FBI, prosecutors, defense lawyers and the press during the Gotti trial, made a series of telephone calls to Sessions demanding that the sources for The News story be found, sources said.	据悉，在审理戈蒂时，格拉瑟对联邦调查局、检察官、被告律师以及媒体毫不客气。他打了好几通电话给塞申斯，要他必须查出《每日新闻》的消息来源。
If patients are in an open ward, few nurses will pass them by without doing some little thing for them. It is in a nurse's tradition to give what is called"TLC", tender loving care, some constant little service to the sick.	如果病人住在公用病房里。很少有护士经过时不为他们做点小事情。这是护士的一项传统，即提供“亲切关怀护理”（TLC），亦即为病人提供持续不断的细小服务。
After subtracting food and energy costs, which can vary widely each month, the Producer Price Index for Finished Goods still rose at a moderately fast clip of four-tenths of1 percent, compared with a two-tenth rises in April.	减去食物与能源的费用以后——这两项每月可能大幅变动——成品制造价格指数仍以略快的速度攀升百分零点四，相形之下，四月份仅上升零点二。
A park at the southern tip of Manhattan Island at the upper end of New York Bay in southeast New York. It is the site of early Dutch and English fortifications and of Castle Clinton, built in1808 for the defense of the harbor.	炮台公园曼哈顿岛南端的公园，位于纽约东南部的纽约湾北端。1808年为保护港口而建，早期荷兰和英国的防御工事及克林顿城堡就在此地
A system of physical conditioning designed to enhance circulatory and respiratory efficiency that involves vigorous, sustained exercise, such as jogging, swimming, or cycling, thereby improving the body's utilization of oxygen.	有氧健身法旨在增强循环和呼吸功效的生理调节体系，包括有力的、持久的锻炼，例如慢跑、游泳或骑自行车，从而提高肌体对氧气的利用
If Fernandez is shown the door, the board could either buy out his contract immediately or allow him to serve out his term. Fernandez is set to collect$400, 000 in past sick pay and other benefits on top of his$195, 000 salary.	如果请费尔南德斯走路，教育局可以付钱马上终止合约，或是让他做满任期。费尔南德斯按规定可以在十九万五的年薪之外，还可以领未用病假和其他福利折合现金四十万元。
A pathological condition of a part, an organ, or a system of an organism resulting from various causes, such as infection, genetic defect, or environmental stress, and characterized by an identifiable group of signs or symptoms.	病，疾病有机体的某一部位、某一器官或系统处于病理状态，由各种因素引起，如传染、遗传缺陷或环境紧张，而且以被视为相同的一组表象或症状为特征
Perhaps most important, these elections will put new faces before the public, especially from the opposition camp. This testing of the waters will measure the impact of the candidates, build name recognition and sift the issues.	也许最重要的是，这些选举将使大众认识新面孔，尤其是来自反对党阵营的。这样投石问路将会测如候选人的影响力，建立知名度，并过滤问题。
In software protection, a method of giving a mark, or signature, that cannot be duplicated, to a floppy disk. A special test routine detects if a signature is present, and if it is not found the protected program will be disabled.	软件保护中，把不能复制的标记或签名存放在软盘上的方法，用一个特殊测试程序来检测签名是否存在，如不存在，则被保护的程序不能运行。
Because of this, the young man or woman writing today has forgotten the problems of the human heart in conflict with itself, which alone can make good writing because only that is worth writing about, worth the agony and the sweat.	正因如此，今天从事写作的男女青年已经忘记了人类内心的冲突。而这本身就能就好作品。因为这是唯一值得写、值得呕心沥血地去写的题材。
It's pointless to try to read Saddam Hussein's mind. Whether he is playing to Islamic radicals or simply taking a final poke at George Bush, his confrontation with America and the world will soon be one more problem for Mr.Clinton.	猜测萨达姆心里如何想法是毫无意义的。不论他是做给伊斯兰激进分子看，还是趁最后一个机会找布什麻烦，他与美国和全世界对抗，不久就成为克林顿先生的问题。
Having waters rich in mineral and organic nutrients that promote a proliferation of plant life, especially algae, which reduces the dissolved oxygen content and often causes the extinction of other organisms. Used of a lake or pond.	（湖泊等）优氧化的水中富有矿物有机物，有利于植物，特别是藻类的增殖，但藻类往往使分解的氧含量过低，从而使别的有机物灭绝。用于指湖泊或池塘
Mr.Hurd did not discuss deadlines, but he told the BBC that the international coalition was"approaching the stage when we all take stock and see if the peaceful pressures which we have been constructing are going to be good enough."	赫德并未讨论限期，可是他告诉英国广播公司说，国际联盟“行将达到的阶段是：大家都对现局加以估计，看我们所建立的以和平方式施压是否有效。”
After having pointedly warned Baghdad not to use poison gas or combat aircraft anywhere in Iraq, warnings that had encouraged the rebellion, Mr.Bush pulled up short when Iraq continued to fly combat helicopters against the insurgents.	经过特别警告巴格达不得在伊拉克任何地方使用毒气和作战飞机（这些警告鼓励了少数民族叛变）以后，当伊拉克继续用作战直升机对付叛军时，布什却半途而废未加制止。
A security device(often part of a terminal) that reads information(often from a magnetic strip) on a badge inserted in a slot. In this way, it can prevent the unauthorized use of a display station before allowing an operator to sign on.	一种安全设备（通常是终端的一部分），它可以读取插入槽中的标记卡上的信息（这些信息往往以磁条码的形式记录在标记卡上）。用这种办法，在允许操作员进入系统前，可以防止对一个显示工作站的非法使用。参阅badge。The deer lowered its head to drink from the pond.	鹿低下头去喝池塘里的水。
A temporary state of mental confusion and clouded consciousness resulting from high fever, intoxication, shock, or other causes. It is characterized by anxiety, disorientation, hallucinations, delusions, trembling, and incoherent speech.	谵妄一种暂时精神混乱和神志不清的状态，由高烧、酒醉、休克、震惊或其它原因导致。其症状是：焦虑、迷失方向、发生幻觉、妄想、颤抖和说胡话
Freed from the constraints of the traditional debate format, Vice President Quayle and Democrat Al Gore went after each other with a vengeance, creating a confrontation that was always lively, often combative, occasionally mean-spirited.	不受以往辩论形式的拘束，副总统奎尔和民主党的戈尔穷追不舍互相猛烈攻击。结果双方对抗始终活泼生动，常有战斗意味，有进则风度欠佳。
A sheikdom and city of eastern Arabia on the Persian Gulf. The city is the capital of the federated United Arab Emirates. With enormous oil revenues, the sheikdom has one of the highest per capita incomes in the world. Population, 242,975.	阿布扎比阿拉伯东部波斯湾上的一酋长国和城市。为阿拉伯联合酋长国的首都。因为有大量的石油收入，该酋长国为世界上人均收入最高的国家之一。人口242，975
In spite of the great number of denominations, students of religious practice in the United State find that in many cases there are no major differences in belief, and only minor ones in ritual between many of the Protestant denominations.	尽管有大量的宗教派别，研究美国宗教惯常做法的学者发现，在许多情况下，许多新教教派之间在信仰方面并没有多大的不同，只是在仪式方面有较小的差异。
In computer security, a computer program with an apparently or actually useful function that contains additional(hidden) functions that surreptitiously exploit the legitimate authorizations of the invoking process to the detriment of security.	在计算机安全学中，一种计算机程序，表面上或实际上有某种有用的功能，而含有附加的（隐藏的）可能利用了调用进程的合法特许来危害系统安全的功能。
A sweetened offer for Harcourt by General Cinema appears to have a good chance of success, analysts said, and should give the troubled publisher a new lease on life by freeing its basically sound businesses from the burden of overwhelming debt.	分析家说，通过影艺公司向哈考特提出的优厚条件似乎颇有成功的希望，并应可解除这家困难重重的出版商的庞大债务负荷，而使基本上健全的营业得到生机。
His unwillingness to give five minutes of his time proves that he is disinterested in finding a solution to the problem, a proportion that is not significantly different from the93 percent who disapproved of the same usage in an earlier survey.	他连自己的五分钟时间都不愿拿出，证明他对这一个解决问题的方法不感兴趣，与前一段统计中不赞成这一同样用法的比率百分之九十三相比，没有什么大的差别
The capital of Wisconsin, in the south-central part of the state west of Milwaukee. It was chosen as territorial capital in1836 and settled the same year. The main branch of the University of Wisconsin(founded1848) is here. Population, 191,262.	麦迪逊美国威斯康星州首府，位于该州的中南部，密尔沃基的西边。它于1836年被选定作为该州的首府并在同年移民于此。威斯康星大学（建于1848年）的主要部分就在这里。人口191，262
